"INSURANCE","Insurance ",
"ELECTIONS","Campaign Finance and Election Issues ",
"HEALTH CARE SERVICES","Health ",
"SALES AND USE TAX","Budget, Spending, and Taxes",
"MOTOR VEHICLES","Transportation ",
"INCOME TAX","Budget, Spending, and Taxes",
"HUNTING","Animal Rights and Wildlife Issues ",
"HEALTH","Health ",
"CRIMES","Crime ",
"SCHOOL POLICIES","Education ",
"FINANCIAL PRACTICES","Commerce ",
"PROPERTY TAX","Budget, Spending, and Taxes",
"MISCELLANEOUS TAXES","Budget, Spending, and Taxes",
"ENERGY","Energy ",
"ROADS","Transportation ",
"HEALTH CARE FACILITIES","Health ",
"GAMBLING","Gambling and Gaming",
"ALTERNATIVE ENERGY","Energy ",
"MUNICIPALITIES","Municipal and County Issues ",
"CAMPAIGN FINANCE","Campaign Finance and Election Issues ",
"EDUCATION DEPT","Education ",
"RECREATION","Recreation ",
"LEGISLATURE","Legislative Affairs ",
"SPECIAL EDUCATION","Education ",
"MEDICAID","Health ",
"LAND USE","Environmental",
"GAME","Gambling and Gaming ",
"WIND ENERGY","Energy ",
"WEAPONS","Guns ",
"TRAFFIC REGULATIONS","Transportation ",
"PUBLIC UTILITIES COMMISSION","Public Services ",
"ENVIRONMENTAL PROTECTION DEPT","Environmental",
"ELECTRIC UTILITIES","Energy ",
"CURRICULUM","Education ",
"PUBLIC HEALTH","Health ",
"INSURANCE PRACTICES","Insurance ",
"CRIMINAL PROCEDURE","Crime ",
"BUSINESS ASSISTANCE","Business and Consumers ",
"ANIMALS","Animal Rights and Wildlife Issues ",
"SCHOOL FACILITIES","Education ",
"PUBLIC LANDS","Environmental",
"PRESCRIPTION DRUGS","Drugs ",
"BUSINESS PRACTICES","Business and Consumers ",
"WORKERS COMPENSATION","Labor and Employment ",
"STATE FINANCES","Commerce ",
"SEX OFFENSES","Crime ",
"SCHOOL FUNDING FORMULA","Education ",
"REAL ESTATE","Housing and Property ",
"INLAND FISHERIES AND WILDLIFE DEPT","Animal Rights and Wildlife Issues ",
"EMPLOYMENT PRACTICES","Labor and Employment",
"DOMESTIC RELATIONS","Family and Children Issues ",
"CHILDREN","Family and Children Issues ",
"REVENUE SERVICES BUREAU","Commerce ",
"LANDLORD AND TENANT","Housing and Property ",
"EMPLOYMENT SECURITY","Labor and Employment",
"DENTAL PERSONNEL","Health ",
"TRANSPORTATION DEPT","Transportation ",
"TRANSPORTATION","Transportation",
"TAX INCREMENT FINANCING","Budget, Spending, and Taxes",
"SHELLFISH","Agriculture and Food ",
"PUBLIC EMPLOYEES RETIREMENT SYSTEM","Labor and Employment",
"MORTGAGES","Housing and Property ",
"ITEMS TAXED","Budget, Spending, and Taxes",
"HOSPITALS","Health ",
"EXCISE TAX","Budget, Spending, and Taxes",
"EDUCATIONAL OPTIONS","Education ",
"WATER QUALITY","Environmental",
"TEACHERS","Education",
"SHORELAND ZONING","Environmental",
"RAILROADS","Transportation ",
"PROBATE","Legal Issues ",
"INSURANCE BUREAU","Insurance ",
"HOUSING","Housing and Property ",
"DEATH","Health ",
"COMPENSATION","Labor and Employment",
"CHILD SUPPORT","Family and Children Issues ",
"AUTOMOBILE","Transportation ",
"TURNPIKE AUTHORITY","Transportation",
"PESTICIDES","Environmental",
"MOTORCYCLES","Transportation ",
"MENTAL HEALTH SERVICES","Health ",
"MARINE RESOURCES DEPT","Environmental",
"MAINECARE","Health ",
"LONG TERM CARE","Health ",
"LANDFILLS","Environmental",
"JOINT ORDERS","Legal Issues ",
"INDUSTRIES","Business and Consumers ",
"HIRING","Labor and Employment",
"HEALTH AND HUMAN SERVICES DEPT","Health ",
"GRADUATION REQUIREMENTS","Education ",
"DRUG OFFENSES","Drugs ",
"DOGS","Animal Rights and Wildlife Issues ",
"COUNTY GOVERNMENT","Municipal and County Issues ",
"CONTRACTED SERVICES","Labor and Employment",
"COMMERCIAL FISHING","Animal Rights and Wildlife Issues ",
"CHILDREN AND FAMILIES","Family and Children Issues ",
"WAGES","Labor and Employment",
"VOTING PROCEDURES","Campaign Finance and Election Issues ",
"UNORGANIZED TERRITORY","Housing and Property ",
"TREE GROWTH TAX","Budget, Spending, and Taxes","Environmental"
"TOXIC SUBSTANCES","Environmental",
"STATE AGENCIES","State Agencies ",
"SCHOOL ADMINISTRATION","Education ",
"SCALLOPS","Animal Rights and Wildlife Issues ",
"RECYCLING","Environmental",
"PURCHASE OF OUT OF STATE PLANS","Federal, State, and Local Relations ",
"PROTECTED NATURAL RESOURCES","Environmental",
"PROPERTY TAX PROCEDURES","Housing and Property ",
"PROPERTY RIGHTS","Housing and Property ",
"OPERATING UNDER INFLUENCE","Transportation ",
"MOTOR VEHICLE","Transportation",
"MOOSE","Animal Rights and Wildlife Issues ",
"LEGISLATORS","Legislative Affairs ",
"GAS UTILITIES","Energy ",
"GAMES OF CHANCE","Gambling and Gaming ",
"ESTATE TAX","Budget, Spending, and Taxes",
"DISTRICTS","Municipal and County Issues ",
"CULTURAL AGENCIES","Arts and Humanities",
"COURTS","Legal Issues",
"CORRECTIONS DEPT","Crime ",
"CIVIL PROCEDURE","Civil Liberties and Civil Rights ",
"CASINO GAMBLING","Gambling and Gaming ",
"BUSINESS ORGANIZATIONS","Business and Consumers ",
"BUILDINGS","Housing and Property ",
"BUDGET PROCEDURES","Budget, Spending, and Taxes",
"AGRICULTURE DEPT","Agriculture and Food ",
"VICTIMS OF CRIME","Crime",
"VETERANS","Military",
"UNIVERSITY OF MAINE SYSTEM","Education",
"TELECOMMUNICATIONS","Technology and Communication",
"SNOWMOBILES","Recreation",
"PRISONERS","Crime",
"OFFENDER REGISTRY","Crime",
"MOTOR CARRIERS","Transportation",
"LAND USE REGULATION COMMISSION","Environmental",
"LAND FOR MAINES FUTURE BOARD","Housing and Property ",
"LAKES","Environmental",
"FORESTRY","Environmental",
"FINANCE AUTHORITY","Commerce",
"EVICTION","Housing and Property ",
"ESSENTIAL PROGRAMS AND SERVICES","Public Services",
"ELDERLY LICENSES","Senior Issues ",
"DISABLED PERSONS","Health ",
"DEER","Animal Rights and Wildlife Issues ",
"CORPORATIONS","Business and Consumers ",
"CONTRACTS","Legal Issues",
"BUILDING AND ENERGY CODE","Energy ",
"BEAR","Animal Rights and Wildlife Issues ",
"ARREST","Crime ",
"ANIMAL WELFARE","Animal Rights and Wildlife Issues ",
"ADJUSTMENTS","Legal Issues",
"ABORTION","Reproductive Issues ",
"WETLANDS","Environmental",
"WEIGHT","Health",
"STATE OFFICERS","State Agencies",
"SOLAR ENERGY","Energy ",
"SMOKING","Health",
"SCHOOL YEAR","Education",
"SCHOOL PROGRAMS","Education",
"SCHOOL PERSONNEL","Education",
"RESTAURANTS","Recreation",
"RELATIONS WITH STATE","Federal, State, and Local Relations ",
"REGISTRATION OF VOTERS","Campaign Finance and Election Issues ",
"PROMOTION","Labor and Employment",
"PRIVATE INVESTIGATORS","Labor and Employment",
"PHARMACIES","Health ",
"PARKING","Transportation",
"ORDINANCES","Legal Issues",
"OILS","Environmental",
"NATURAL RESOURCES","Environmental",
"NATIVE AMERICANS","Indigenous Peoples",
"MOTOR FUEL TAX","Transportation","Budget, Spending, and Taxes "
"MINORS","Family and Children Issues",
"MILK","Agriculture and Food ",
"MEDICAL PRACTITIONERS","Health ",
"MARINE RESOURCES","Environmental",
"MAINE RESIDENTS PROPERTY TAX PROG","Housing and Property ",
"LOBSTERS","Animal Rights and Wildlife Issues ",
"LEGAL SERVICES","Legal Issues ",
"LANDLORD DUTIES","Housing and Property ",
