"Reports","Other",,,
"Notices","Other",,,
"Committees and Commissions ","Other",,,
"Penalties and Sentences ","Crime",,,
"Crimes and Punishments ","Crime",,,
"Rules and Regulations","Other",,,
"State Bonds","Budget, Spending, and Taxes",,,
"Fees ","Budget, Spending, and Taxes",,,
"Licenses ","Commerce",,,
"Counties ","Other","Federal, State, and Local Relations",,
"Records ","Other",,,
"Revenue and Taxes ","Budget, Spending, and Taxes",,,
"Sunset","Other","Legislative Affairs",,
"Minors ","Other","Family and Children Issues",,"Legal Issues"
"Law Enforcement ","Crime",,,
"Public Schools","Education",,,
"Disclosure","Other","Government Reform",,
"Administrative Agencies ","Other","Budget, Spending, and Taxes","Government Reform",
"Work, Labor and Employment ","Labor and Employment",,,
"Community Facilities and Services","Other",,,
"Civil Actions ","Legal Issues",,,
"Courts ","Judiciary","Legal Issues",,
"Municipal Corporations ","Federal, State, and Local Relations",,,
"Hearings","Legal Issues",,,
"Electronic Government","Government Reform",,"Technology and Communication",
"Public Information","Government Reform",,,
"Health Occupations ","Health",,,
"Consumer Protection ","Business and Consumers",,,
"Equipment ","Other","Budget, Spending, and Taxes",,
"Prince George`s County","Municipal and County Issues",,,
"Baltimore City","Municipal and County Issues",,,
"Education ","Education",,,
"State Employees","Budget, Spending, and Taxes",,,
"Real Property","Housing and Property",,,
"Commerce and Business ","Business and Consumers","Commerce",,
"Health ","Health",,,
"Health Insurance ","Health","Insurance",,
"Registration ","Other",,,
"Local Government Mandates","Municipal and County Issues",,"Federal, State, and Local Relations",
"Environmental Matters ","Environmental",,,
"Liability ","Legal Issues",,,
"Students","Education",,,
"Education, Boards of","Education",,,
"Health and Mental Hygiene, Department of","Health",,,
"Privacy","Legal Issues","Business and Consumers",,
"Disabilities ","Labor and Employment","Health",,
"Contracts ","Labor and Employment",,,
"Salaries ","Labor and Employment",,,
"Property Tax","Housing and Property",,"Legal Issues",
"Sexual Offenses","Crime",,,
"Income Tax","Legal Issues","Labor and Employment",,
"Comptroller","State Agencies",,,
"Safety ","Other",,,
"Retirement Systems ","Senior Issues",,,
"Housing ","Housing and Property",,,
"Tax Credits ","Budget, Spending, and Taxes",,,
"Nonprofit Organizations","Other",,,
"Motor Vehicles ","Transportation",,,
"General Assembly ","Legislative Affairs",,,
"Energy Matters ","Energy",,,
"Sports and Recreation","Recreation",,,
"Appeals ","Legal Issues",,,
"Montgomery County","Municipal and County Issues",,,
"Exemptions","Other","Legal Issues",,
"Utilities ","Energy",,,
"Public Employees ","Labor and Employment","Budget, Spending, and Taxes",,
"Procurement","Other",,,
"Grants","Budget, Spending, and Taxes",,"Other",
"Public Buildings and Facilities ","Other",,,
"Prices ","Commerce",,,
"Construction","Business and Consumers","Commerce",,
"Insurance ","Insurance",,,
"Health Maintenance Organizations ","Health",,,
"Federal Government","Federal, State, and Local Relations",,,
"Alcoholic Beverages Licenses","Legal Issues",,,
"Alcoholic Beverages - By Subdivision","Legal Issues",,,
"Highways","Transportation",,,
"Physicians ","Health",,,
"Victims ","Legal Issues",,,
"Elections ","Campaign Finance and Election Issues",,,
"Circuit Courts","Judiciary",,,
"Investigations and Inquiries ","Legal Issues","Other",,
"Prisoners ","Crime",,,
"Elderly Persons","Senior Issues",,,
"Conservation ","Environmental",,,
"Attorney General","Executive Branch",,,
"Agriculture ","Agriculture and Food",,,
"Death ","Other","Legal Issues",,
"Environment, Department of","Environmental",,,
"Transportation ","Transportation",,,
"Teachers","Education",,,
"Public Service Commission","Other","Government Reform",,
"Parole and Probation","Crime",,,
"Fire Protection","Health","Other",,
"Judges","Judiciary",,,
"Inspections ","Other","Legal Issues",,
"Leases and Rent","Housing and Property",,,
"Fines ","Legal Issues",,,
"Anne Arundel County","Municipal and County Issues",,,
"Referendum","Other","Government Reform",,
"Private Schools","Education",,,
"Ex-Offenders","Crime",,,
"Appropriations","Budget, Spending, and Taxes",,,
"Animals ","Animal Rights and Wildlife Issues",,,
"Motor Vehicle Administration","Transportation",,,
"Mental Health","Health",,,
"Evidence","Legal Issues","Crime",,
"Natural Resources, Department of","Environmental",,,
"Examinations","Other",,,
"Minorities ","Social Issues","Family and Children Issues",,
"Laws and Ordinances ","Legal Issues",,,
"Forms","Other","Legal Issues",,
"Alternative Energy Sources","Energy",,,
"Petitions","Other","Legal Issues",,
"Discrimination","Legal Issues","Social Issues",,
"Armed Forces ","Military",,,
"Advertising","Commerce",,,
"Signs and Billboards","Commerce",,,
"Patients","Health",,,
"Higher Education ","Education",,,
"Education, State Department of","Education",,,
"Legislative Services, Department of","Legislative Affairs",,,
"Health Care Facilities ","Health",,,
"Governor","Executive Branch",,,
"Forests and Parks ","Environmental",,,
"Zoning and Planning","Housing and Property","Other",,
"Voting ","Campaign Finance and Election Issues",,,
"License Commissioners, Boards of","State Agencies",,,
"Interstate Affairs","Federal, State, and Local Relations",,,
"Historical Matters","Other","Social Issues",,
"Food ","Agriculture and Food",,,
"Corporations ","Business and Consumers",,,
"Bonds ","Commerce",,,
"Baltimore County","Municipal and County Issues",,,
"Identification","Other","Legal Issues",,
"Hazardous and Toxic Substances ","Health",,,
"Gaming ","Gambling and Gaming",,,
"Water","Environmental","Health",,
"State Universities and Colleges","Education",,,
"District Courts","Judiciary",,,
"Traffic Regulation","Transportation",,,
"Labor, Licensing, and Regulation, Department of","Labor and Employment",,,
"Gifts","Other",,,
"Estates and Trusts","Legal Issues",,,
