"Budget Act of 2009.","Budget, Spending, and Taxes",,,
"Budget Act of 2009. ","Budget, Spending, and Taxes",,,
"Budget Act of 2010.","Budget, Spending, and Taxes",,,
"Budget Act of 2008. ","Budget, Spending, and Taxes",,,
"Budget Act of 2008.","Budget, Spending, and Taxes",,,
"Budget Act of 2008. ","Budget, Spending, and Taxes",,,
"Property taxation.","Budget, Spending, and Taxes","Housing and Property",,
"Workers’ compensation.","Labor and Employment",,,
"Firearms.","Guns",,,
"Transportation.","Transportation",,,
"Renewable energy resources.","Energy",,,
"Enterprise zones.","Commerce",,,
"Energy: California Alternative Energy and Advanced Transportation Financing Authority.","Energy","Transportation",,
"State budget.","Budget, Spending, and Taxes",,,
"Medi-Cal.","Health",,,
"High-speed rail.","Transportation",,,
"Health care coverage.","Health",,,
"Education.","Education",,,
"Sentencing.","Crime",,,
"School facilities.","Education",,,
"Professions and vocations.","Labor and Employment",,,
"Insurance.","Insurance",,,
"Income tax credit: qualified principal residence.","Budget, Spending, and Taxes",,,
"Healing arts.","Health",,,
"Economic development.","Commerce",,,
"Corporation taxes.","Budget, Spending, and Taxes","Commerce",,
"Veterans’ Home of California.","Military",,,
"Validations. ","Other",,,
"Unemployment insurance: retraining benefits.","Labor and Employment","Insurance",,
"Taxation: military housing.","Budget, Spending, and Taxes","Military",,
"Taxation: cancellation of indebtedness: mortgage debt forgiveness.","Budget, Spending, and Taxes","Housing and Property",,
"Taxation.","Budget, Spending, and Taxes",,,
"State employment: salary freeze.","Labor and Employment",,,
"State employees: memorandum of understanding. ","Labor and Employment",,,
"Sales and use taxes: exemption: manufacturing equipment.","Budget, Spending, and Taxes","Commerce",,
"Recycled water.","Environmental",,,
"Public assistance: home visits.","Health","Public Services",,
"Military and veterans.","Military",,,
"Land use: housing element.","Housing and Property",,,
"Income and corporation tax credits: research and development.","Budget, Spending, and Taxes","Science and Medical Research",,
"In-home supportive services.","Health",,,
"Human trafficking.","Crime",,,
"Environment: California Environmental Quality Act (CEQA).","Environmental",,,
"Employment: working hours.","Labor and Employment",,,
"Elections: voting.","Campaign Finance and Election Issues",,,
"Education finance.","Education",,,
"Charter schools.","Education",,,
"Career technical education.","Education",,,
"Veterans.","Military",,,
"Vehicles: specially constructed vehicles.","Transportation",,,
"Unclaimed property.","Legal Issues",,,
"Tribal gaming.","Indigenous Peoples","Gambling and Gaming",,
"Torts: personal liability immunity.","Legal Issues",,,
"Taxes: credits: qualified employees.","Budget, Spending, and Taxes",,,
"Taxation: Oil Industry Fair Share Act.","Budget, Spending, and Taxes",,,
"State employees: memorandum of understanding.","Labor and Employment",,,
"State Water Resources Control Board: water quality certifications.","Environmental",,,
"State Board of Equalization: administration: interest.","State Agencies",,,
"State Auditor: duties.","State Agencies",,,
"State Air Resources Board: regulations.","Environmental","State Agencies",,
"School facilities: construction.","Education",,,
"Sacramento-San Joaquin Delta.","Environmental",,,
"Restitution centers.","Other",,,
"Redevelopment.","Other",,,
"Public resources.","Public Services",,,
"Public employment: furloughs.","Labor and Employment",,,
"Public employees’ retirement: service credit.","Labor and Employment","Senior Issues",,
"Personal income taxes.","Budget, Spending, and Taxes",,,
"Municipal utility districts.","Municipal and County Issues","Public Services",,
"Motor vehicle insurance: special assessments.","Insurance","Transportation",,
"Medi-Cal: managed care.","Health",,,
"Marriage licenses: vital records: fees: domestic violence.","Family and Children Issues",,,
"Maintenance of the codes.","Other",,,
"Local government: organization.","Municipal and County Issues",,,
"Local government finance.","Municipal and County Issues",,,
"Lending.","Commerce",,,
"Instructional materials.","Other",,,
"Individual health care coverage.","Health","Insurance",,
"Income taxes: hiring credit: veterans.","Budget, Spending, and Taxes","Military",,
