"SCHOOLS AND SCHOOL DISTRICTS","Education",
"TAXATION","Budget, Spending, and Taxes",
"MOTOR VEHICLES","Transportation",
"ELECTIONS","Campaign Finance and Election Issues",
"GENERAL ASSEMBLY","Legislative Affairs",
"EDUCATION","Education",
"PROPERTY","Housing and Property",
"STATE GOVERNMENT","State Agencies",
"POLITICAL SUBDIVISIONS","Federal, State, and Local Relations",
"COURTS","Judiciary",
"CRIMES AND OFFENSES","Crime",
"CONSTITUTION OF SOUTH CAROLINA","Legal Issues",
"MINORS","Family and Children Issues",
"MEDICAL","Health",
"INSURANCE","Insurance",
"COMMISSIONS, COMMITTEES OR BOARDS","State Agencies",
"BUSINESSES AND CORPORATIONS","Business and Consumers",
"AGENCIES, STATE","State Agencies",
"CONSUMER AFFAIRS","Business and Consumers",
"HEALTH AND ENVIRONMENTAL CONTROL","Health","Environmental"
"COLLEGES AND UNIVERSITIES","Education",
"TRANSPORTATION DEPARTMENT","Transportation",
"VETERANS' AND MILITARY AFFAIRS","Military",
"REQUESTS AND MEMORIALS","Resolutions",
"LAW ENFORCEMENT","Crime",
"DOMESTIC RELATIONS","Family and Children Issues",
"EMPLOYERS AND EMPLOYEES","Labor and Employment",
"APPROPRIATION ACTS","Budget, Spending, and Taxes",
"CORRECTIONS, DEPARTMENT OF","Crime","State Agencies"
"GOVERNOR","Executive Branch",
"AGRICULTURE","Agriculture and Food",
"WATER AND SEWER","Environmental","Public Services"
"PROBATION, PAROLE AND PARDON","Crime","Judiciary"
"NATURAL RESOURCES DEPARTMENT","Environmental",
"PUBLIC OFFICERS AND EMPLOYEES","State Agencies",
"FISH AND GAME","Animal Rights and Wildlife Issues",
"CONSERVATION","Environmental","Animal Rights and Wildlife Issues"
"ANIMALS","Animal Rights and Wildlife Issues",
"RESOLUTIONS","Resolutions",
"REVENUE DEPARTMENT","Budget, Spending, and Taxes",
"WEAPONS","Guns",
"FOOD","Agriculture and Food",
"BANKS AND SAVINGS AND LOAN ASSOCIATIONS","Commerce",
"ALCOHOL AND ALCOHOLIC BEVERAGES","Drugs",
"PHARMACIES AND PHARMACISTS","Health",
"ENERGY","Energy",
"BUDGET AND CONTROL BOARD","Budget, Spending, and Taxes",
"JUVENILE JUSTICE DEPARTMENT","Family and Children Issues","Crime"
"EMPLOYMENT AND WORKFORCE, DEPARTMENT OF","Labor and Employment",
"ATTORNEY GENERAL","Legal Issues",
"FIRE","Public Services",
"ELECTRICITY","Public Services","Energy"
"TELEPHONES","Technology and Communication",
"RICHLAND COUNTY","Municipal and County Issues",
"LABOR, LICENSING AND REGULATION DEPARTMENT","Labor and Employment",
"ETHICS","Government Reform",
"STATE SYMBOLS AND EMBLEMS","Resolutions",
"FUEL","Energy",
"AERONAUTICS","Transportation",
"PUBLIC SERVICE COMMISSION","Public Services",
"PRISONS AND PRISONERS","Crime",
"LOBBYISTS AND LOBBYING","Government Reform",
"WORKERS' COMPENSATION","Labor and Employment",
"RESIDENTIAL CARE FACILITIES","Health","Senior Issues"
"LIEUTENANT GOVERNOR","Executive Branch",
"GAS","Energy","Transportation"
"BONDS OR NOTES","Budget, Spending, and Taxes",
"WASTE","Public Services",
"RETIREMENT SYSTEMS AND PENSIONS","Senior Issues",
"MENTAL HEALTH","Health",
"LOTTERY","Gambling and Gaming",
"IMMIGRATION","Immigration",
"HANDICAPPED","Health",
"GREENWOOD COUNTY","Municipal and County Issues",
"GREENVILLE COUNTY","Municipal and County Issues",
"CHARLESTON COUNTY","Municipal and County Issues",
"BUILDINGS","Housing and Property",
"AGING","Senior Issues",
"ADJUTANT GENERAL","Legal Issues",
"TREASURERS","Budget, Spending, and Taxes",
"SOCIAL SERVICES","Family and Children Issues","Public Services"
"PUBLIC SAFETY DEPARTMENT","Public Services",
"GAMBLING","Gambling and Gaming",
"ATTORNEYS","Legal Issues",
"SECRETARY OF STATE","Executive Branch",
"SALUDA COUNTY","Municipal and County Issues",
"PARKS, RECREATION AND TOURISM","Recreation",
"METALS","Environmental",
